RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime,scheduled_time,expected_time,time_diff,time_diff_mins
2017-08-01 09:11:33,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8366,40.810359000000005,-73.951612,W 125 ST/FRED DOUGLASS BL,at stop,1.0,2017-08-01 09:11:51,09:08:26,09:08:26,09:11:51,0 days 00:03:25.000000000,4
2017-08-01 14:12:48,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8384,40.810292,-73.951451,W 125 ST/FRED DOUGLASS BL,at stop,17.0,2017-08-01 14:12:57,14:09:01,14:09:01,14:12:57,0 days 00:03:56.000000000,4
2017-08-01 15:42:13,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4363,40.810266999999996,-73.95139,W 125 ST/FRED DOUGLASS BL,at stop,23.0,2017-08-01 15:42:28,15:41:49,15:41:49,15:42:28,0 days 00:00:39.000000000,1
2017-08-01 18:12:11,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4358,40.810274,-73.95140699999999,W 125 ST/FRED DOUGLASS BL,at stop,21.0,2017-08-01 18:12:26,18:12:14,18:12:14,18:12:26,0 days 00:00:12.000000000,1
2017-08-01 19:22:24,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8393,40.810359000000005,-73.951612,W 125 ST/FRED DOUGLASS BL,at stop,1.0,2017-08-01 19:22:27,19:20:26,19:20:26,19:22:27,0 days 00:02:01.000000000,3
2017-08-01 19:22:24,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8393,40.810359000000005,-73.951612,W 125 ST/FRED DOUGLASS BL,at stop,1.0,2017-08-01 19:22:27,19:21:14,19:21:14,19:22:27,0 days 00:01:13.000000000,2
2017-08-02 12:13:55,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4334,40.810311999999996,-73.9515,W 125 ST/FRED DOUGLASS BL,at stop,12.0,2017-08-02 12:14:32,12:14:14,12:14:14,12:14:32,0 days 00:00:18.000000000,1
2017-08-02 14:44:31,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4351,40.81031,-73.951494,W 125 ST/FRED DOUGLASS BL,at stop,13.0,2017-08-02 14:44:43,14:43:49,14:43:49,14:44:43,0 days 00:00:54.000000000,1
2017-08-02 15:13:55,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4374,40.810317,-73.951511,W 125 ST/FRED DOUGLASS BL,at stop,11.0,2017-08-02 15:14:03,15:06:49,15:06:49,15:14:03,0 days 00:07:14.000000000,8
2017-08-02 17:34:54,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4367,40.810324,-73.951528,W 125 ST/FRED DOUGLASS BL,at stop,9.0,2017-08-02 17:34:59,17:27:49,17:27:49,17:34:59,0 days 00:07:10.000000000,8
